id,overall_quality_of_services_3_01,overall_quality_of_services_3_02,overall_appearance_of_durham_3_03,overall_management_of_develo_3_04,overall_image_of_durham_3_05,overall_quality_of_life_in_d_3_06,overall_quality_of_life_in_y_3_07,overall_value_you_receive_fo_3_08,do_your_monthly_housing_cost_12_01,are_you_able_to_find_housing_12_02,do_you_have_major_home_repai_12_03,ease_of_travel_by_walking_18_01,ease_of_travel_by_biking_18_02,ease_of_travel_by_bus_godu_18_03,quality_of_downtown_parking_18_04,the_ability_in_your_neighbo_18_05,as_a_place_to_live_24_01,as_a_place_to_work_24_02,as_a_place_to_play_24_03,as_a_place_to_raise_childre_24_04,as_a_place_to_educate_child_24_05,as_a_place_to_retire_24_06,as_a_place_to_visit_24_07,as_a_place_to_start_a_busin_24_08,as_a_community_that_is_movi_24_09,have_you_or_someone_in_your_househol_26,approximately_how_many_years_have_yo_28,what_is_your_age_29,what_is_your_gender_30,do_you_own_or_rent_your_current_resi_31,asianpacific_islander_32_01,white_32_02,native_americaninuit_32_03,blackafrican_american_32_04,other_32_05,please_define_other_32_5,are_you_of_hispanic_latino_or_spa_33,primary_language,please_define_other_34_3,how_might_we_better_provide_service_34a,would_you_say_your_total_annual_hous_35,city,state,zip,pac_zone,inside_city_of_durham,block_lon,block_lat
60,2,3,2,3,1,1,1,3,1,2,1,2,3,NA,2,2,3,2,2,2,2,3,2,2,2,2,36,3,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27703,1,Y,-78810000,36000000
61,4,4,5,3,5,5,5,4,2,1,2,4,4,4,4,4,5,5,5,5,5,5,5,NA,5,2,30,1,2,2,NA,2,NA,NA,NA,NA,2,Spanish,NA,NA,3,Durham,NC,27705,2,Y,-78916000,36015000
62,3,3,4,4,4,3,5,3,2,1,2,4,4,3,3,5,4,4,3,3,2,3,4,4,4,2,11,1,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27705,2,Y,-78915000,36014000
63,3,3,3,3,2,4,5,2,2,1,1,2,NA,NA,3,3,4,NA,4,4,NA,4,3,NA,3,2,4,3,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27712,NA,N,-78868000,36099000
64,3,3,4,2,3,3,4,3,1,2,1,3,3,3,4,4,4,4,3,3,3,2,3,3,2,1,41,2,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27701,2,Y,-78894000,36006000
65,4,4,4,2,5,5,5,NA,2,1,2,2,NA,NA,4,5,5,4,4,4,2,4,4,NA,5,2,4,1,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27705,2,Y,-78932000,36016000
66,3,4,3,3,3,3,3,3,1,2,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,44,3,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27701,4,Y,-78894000,35979000
67,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,1,1,4,4,4,2,2,3,4,4,3,3,2,48,4,2,2,NA,NA,3,4,NA,NA,2,English,NA,NA,3,Durham,NC,27704,2,Y,-78899000,36073000
68,3,NA,3,2,3,3,4,2,2,1,2,4,4,NA,4,4,4,4,4,4,2,4,4,4,4,2,38,4,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27707,3,Y,-78973000,35966000
69,4,4,3,4,3,3,4,4,1,1,1,3,3,3,2,3,4,5,3,4,1,3,4,4,4,2,24,4,2,2,NA,2,3,NA,5,Mediterranean,2,English,NA,NA,3,Durham,NC,27703,NA,N,-78842000,35952000
70,4,4,4,4,4,4,5,5,2,NA,NA,3,3,3,3,5,4,4,4,4,4,4,4,4,4,2,25,3,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27713,NA,N,-78930000,35882000
71,3,4,2,2,1,3,4,2,2,1,2,NA,NA,NA,4,5,4,3,4,4,2,2,3,2,1,2,70,5,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Bahama,NC,27503,NA,N,-78862000,36168000
72,4,4,4,4,4,4,4,4,1,1,2,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,2,NA,4,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Rougemont,NC,27572,NA,N,-78928000,36221000
73,4,4,4,4,3,3,1,4,2,1,2,4,3,1,2,2,2,4,3,2,1,3,4,4,3,2,14,1,1,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,4,Durham,NC,27707,4,Y,-78905000,35985000
74,5,5,4,4,4,4,5,3,2,1,2,4,4,NA,4,5,5,NA,5,5,5,5,5,NA,5,2,75,5,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27703,1,Y,-78811000,35973000
75,4,4,4,4,4,4,4,4,1,1,1,4,4,3,2,4,4,4,4,4,4,4,4,4,4,2,51,4,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27707,4,Y,-78907000,35969000
76,4,4,3,3,3,3,2,3,1,2,1,2,2,3,3,3,3,NA,1,2,3,2,3,3,3,1,49,3,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27703,1,Y,-78857000,35987000
77,5,5,5,5,5,5,5,5,2,NA,2,NA,NA,NA,5,5,5,5,4,5,5,5,4,4,5,2,33,1,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27705,3,Y,-78993000,35975000
78,3,3,4,3,2,2,3,3,2,1,2,3,3,3,3,4,3,NA,2,3,3,2,3,3,4,2,3,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27712,NA,N,-78949000,36087000
79,3,3,3,2,3,4,4,3,2,1,2,4,NA,NA,2,4,4,4,4,4,3,3,4,NA,3,2,32,1,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27704,2,Y,-78896000,36028000
80,NA,NA,1,3,2,2,2,1,2,1,2,4,3,NA,4,3,2,3,1,1,1,2,3,NA,1,2,6,3,1,1,NA,NA,NA,NA,5,NA,2,NA,NA,NA,NA,Durham,NC,27713,4,Y,-78919000,35946000
81,3,3,2,NA,3,3,3,2,2,1,1,2,2,3,2,3,5,4,3,5,4,5,5,3,4,2,73,5,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27712,NA,N,-78912000,36096000
82,4,4,4,4,3,4,4,NA,1,2,1,5,5,NA,3,5,4,5,4,4,4,2,4,4,4,2,5,1,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27704,1,Y,NA,NA
83,4,4,3,3,3,3,4,3,1,1,2,3,3,3,4,4,3,3,3,3,3,3,4,3,3,2,21,4,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27707,NA,N,-78992000,35935000
84,NA,4,3,4,3,4,4,2,2,2,2,3,NA,NA,3,2,4,4,4,3,2,4,4,4,4,2,52,3,1,2,NA,2,NA,NA,NA,NA,1,English,NA,NA,3,Durham,NC,27704,NA,N,-78832000,36026000
85,4,4,4,4,4,4,4,4,2,1,2,4,3,3,4,4,4,4,4,4,3,4,4,4,4,2,8,4,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27704,2,Y,-78834000,36052000
86,4,4,NA,2,3,4,4,3,2,1,2,4,NA,NA,3,4,4,NA,4,3,4,4,4,NA,3,2,30,5,1,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,3,Durham,NC,27712,2,Y,-78972000,36076000
87,3,NA,4,3,4,2,4,4,1,1,2,3,3,2,2,2,4,4,4,4,4,4,4,4,4,2,40,3,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27707,4,Y,-78921000,35966000
