name,known_for
Ada Lovelace,first computer algorithm
Marie Curie,"theory of radioactivity,  first woman Nobel Prize win"
Janaki Ammal,"hybrid species, biodiversity protection"
Chien-Shiung Wu,experiment overturning theory of parity
Katherine Johnson,orbital mechanics critical to sending first Americans into space
Vera Rubin,existence of dark matter
Gladys West,mathematical modeling of the shape of the Earth
Flossie Wong-Staal,"first to clone HIV and map its genes, which led to test for virus"
Jennifer Doudna,one of the primary developers of CRISPR
